Tipo,Producto,Cobertura,Pagos,Edad1,Edad2, SAF ,Crecimiento,SAD,PNU,PA
Individual,Dotal Mixto,14,7,43,4,2697274.01,Variable,5086112.416,2113384.76,243574.00
Vida Conjunta,Dotal Mixto,16,0,22,26,1853968.00,NA,1853968,709725.02,248457.86
Vida Conjunta,Temporal,12,0,14,18,637986.00,NA,0,7037.45,2463.35
Individual,Temporal,6,0,25,9,1411934.00,NA,0,8043.94,8043.94
Vida Conjunta,Dotal Mixto,18,0,33,40,1924733.00,NA,1924733,540571.45,89308.12
Ultimo Superviviente,Temporal,33,14,19,22,1141664.00,NA,0,12.15,0.86
Individual,Ordinario de Vida,61,2,48,8,2922148.00,NA,0,370056.84,45865.41
Ultimo Superviviente,Dotal Mixto,22,1,38,46,127076.00,NA,127076,30765.42,4533.47
Vida Conjunta,Dotal Mixto,39,11,20,20,1816818.00,NA,1816818,242885.83,21486.70
Ultimo Superviviente,Dotal Mixto,13,2,21,27,1430448.00,NA,1430448,655237.31,144136.72
Vida Conjunta,Temporal,11,0,30,33,4245981.00,Fijo,0,74932.36,14096.63
Vida Conjunta,Temporal,36,0,21,25,2311085.00,NA,0,68636.57,15127.12
Ultimo Superviviente,Temporal,30,29,31,30,322625.00,NA,0,8.14,0.46
Ultimo Superviviente,Dotal Mixto,35,20,27,27,2853993.00,NA,2853993,366465.12,23836.62
Individual,Dotal Mixto,34,33,12,1,567142.00,NA,567142,105936.43,6271.56
Vida Conjunta,Dotal Mixto,14,0,32,37,256992.06,Variable,484596.8489,201360.00,70516.16
Vida Conjunta,Temporal,45,0,15,21,850861.00,NA,0,26183.88,13417.35
Individual,Dotal Mixto,10,7,50,7,1846364.00,NA,1846364,817247.06,79325.23
Ultimo Superviviente,Dotal Mixto,48,14,14,19,1295271.00,NA,1295271,117986.48,10825.96
Vida Conjunta,Dotal Mixto,24,19,31,33,1929377.00,NA,1929377,568466.79,42844.02
Individual,Dotal Mixto,9,5,37,6,1741349.00,NA,1741349,842223.31,96911.14
Vida Conjunta,Temporal,16,0,30,37,1676683.00,NA,0,40747.64,20882.58
Individual,Dotal Mixto,23,12,28,5,404706.00,NA,404706,105529.75,8953.71
Ultimo Superviviente,Temporal,42,14,23,25,665146.00,NA,0,23.65,1.76
Vida Conjunta,Ordinario de Vida,70,6,36,41,2577604.00,NA,0,420735.19,79332.34
Vida Conjunta,Temporal,20,1,20,23,1388393.00,NA,0,24770.62,3330.80
Ultimo Superviviente,Temporal,22,17,33,31,4218949.37,Variable,0,121.03,8.18
Vida Conjunta,Dotal Mixto,11,5,43,48,2159518.56,Variable,3517628.181,1534729.52,177878.11
Individual,Dotal Mixto,33,30,29,7,1997135.00,NA,1997135,302983.69,17444.97
Individual,Ordinario de Vida,70,0,39,6,1360760.00,NA,0,128450.44,34538.19
Individual,Dotal Mixto,20,10,23,7,2671077.63,Variable,6749680.128,1807890.48,153277.42
Individual,Dotal Mixto,36,12,17,0,2407123.00,NA,2407123,431912.42,46529.51
Vida Conjunta,Dotal Mixto,20,13,16,18,2134414.00,NA,2134414,742586.25,68562.41
Ultimo Superviviente,Temporal,20,5,35,39,396813.00,NA,0,9.95,1.07
Vida Conjunta,Dotal Mixto,28,3,31,29,2431681.00,NA,2431681,657344.85,230194.17
Vida Conjunta,Dotal Mixto,38,9,23,25,4366956.42,Variable,26557239.12,2814979.05,239528.31
Vida Conjunta,Dotal Mixto,21,1,42,44,1952475.00,Fijo,3254125,742705.51,85819.73
Individual,Dotal Mixto,43,7,20,7,741834.45,Fijo,1895799.15,172706.02,16663.28
Vida Conjunta,Dotal Mixto,33,3,26,21,1736148.00,NA,1736148,261943.23,30170.77
Ultimo Superviviente,Dotal Mixto,33,3,21,20,2420292.00,NA,2420292,343351.11,42348.38
Vida Conjunta,Dotal Mixto,23,22,19,23,1487003.00,NA,1487003,430881.37,29451.38
Ultimo Superviviente,Temporal,14,0,38,36,1746647.00,NA,0,25.09,5.52
Ultimo Superviviente,Dotal Mixto,42,21,20,21,2673729.00,NA,2673729,296455.35,20462.30
Individual,Dotal Mixto,45,0,17,3,1841916.00,NA,1841916,194248.15,194248.15
Individual,Temporal,38,2,21,4,729704.87,Variable,0,28668.45,5385.58
Vida Conjunta,Ordinario de Vida,67,2,39,39,1420844.00,NA,0,191679.36,31698.52
Vida Conjunta,Dotal Mixto,10,2,42,40,1424224.00,NA,1424224,632219.60,85256.36
Vida Conjunta,Dotal Mixto,12,0,32,34,2938952.00,NA,2938952,1239496.24,273319.96
Vida Conjunta,Dotal Mixto,27,20,21,18,1749952.00,NA,1749952,352210.56,23155.85
Vida Conjunta,Dotal Mixto,10,0,19,18,1462198.00,NA,1462198,674883.64,181504.08
Individual,Dotal Mixto,25,0,34,5,2928012.00,NA,2928012,701599.90,359471.08
Individual,Temporal,29,24,32,7,314165.00,NA,0,5812.51,358.35
Individual,Temporal,38,17,17,0,1630166.00,Variable,0,60194.36,5103.84
Individual,Ordinario de Vida,80,1,31,1,1235642.00,NA,0,102907.67,52726.25
Ultimo Superviviente,Dotal Mixto,33,0,26,23,306319.06,Variable,1459592.412,187664.60,35212.65
Vida Conjunta,Dotal Mixto,20,19,38,41,682820.00,NA,682820,222275.43,16034.17
Individual,Dotal Mixto,18,12,33,2,593453.00,NA,593453,226306.73,21876.63
Ultimo Superviviente,Dotal Mixto,49,20,16,15,849258.00,NA,849258,77363.63,5912.41
Individual,Temporal,17,16,40,1,1752375.00,NA,0,31631.01,2695.82
Vida Conjunta,Temporal,27,8,20,27,2462350.00,NA,0,61484.69,8274.01
Vida Conjunta,Dotal Mixto,32,18,20,22,576057.00,NA,576057,98084.59,6838.59
Ultimo Superviviente,Dotal Mixto,16,7,18,28,930210.00,NA,930210,386465.12,51783.02
Vida Conjunta,Temporal,29,0,30,33,2005320.72,Variable,0,137558.78,48161.48
Vida Conjunta,Dotal Mixto,33,8,19,27,1140061.00,NA,1140061,214286.68,24694.32
Vida Conjunta,Temporal,11,11,37,35,221075.00,NA,0,4511.95,400.88
Vida Conjunta,Dotal Mixto,27,1,23,23,1643788.66,Variable,5844774.449,1287951.43,283876.38
Individual,Dotal Mixto,17,16,30,0,1197699.00,NA,1197699,526363.42,46499.48
Individual,Temporal,18,1,27,1,1526384.00,NA,0,14877.90,7622.61
Individual,Temporal,29,23,35,1,2536828.00,NA,0,63057.16,4397.82
Individual,Temporal,21,3,20,6,860620.14,Variable,0,10850.90,1456.51
Individual,Dotal Mixto,18,15,17,5,895218.75,Fijo,1503967.5,491059.31,37676.30
Vida Conjunta,Dotal Mixto,33,11,25,29,2466152.00,NA,2466152,536254.03,61865.17
Individual,Dotal Mixto,43,26,19,7,470381.00,NA,470381,45355.17,2716.90
Vida Conjunta,Dotal Mixto,43,34,19,23,3167933.77,Variable,24588195.3,2363960.95,134628.40
Individual,Dotal Mixto,34,8,24,7,590306.00,NA,590306,84710.06,7797.87
Ultimo Superviviente,Temporal,13,5,36,33,2229615.27,Variable,0,31.87,4.27
Vida Conjunta,Dotal Mixto,16,4,32,32,2513794.82,Variable,5225998.878,2171510.48,408821.88
Ultimo Superviviente,Dotal Mixto,27,6,27,27,2355315.00,NA,2355315,493766.35,56613.91
Vida Conjunta,Dotal Mixto,21,0,23,26,2788123.92,Variable,7397722.81,1981467.62,372700.50
Vida Conjunta,Dotal Mixto,19,6,36,34,664574.00,NA,664574,257269.78,42545.71
Vida Conjunta,Dotal Mixto,22,1,37,35,1636276.00,NA,1636276,484371.25,106858.01
Individual,Dotal Mixto,36,19,17,1,2628732.75,Variable,14500130.25,2384338.10,182998.74
Individual,Dotal Mixto,24,22,29,3,2365840.00,NA,2365840,647903.74,44111.86
Individual,Dotal Mixto,31,26,25,4,872402.00,NA,872402,164692.07,10281.90
Individual,Dotal Mixto,41,25,21,7,1670277.45,Variable,11758734.4,1130509.52,68585.61
Individual,Temporal,43,2,19,5,1559247.22,Variable,0,72902.23,12015.15
Vida Conjunta,Temporal,29,5,16,24,2817277.00,Variable,0,138152.84,30452.32
Vida Conjunta,Ordinario de Vida,68,0,36,41,1056249.00,NA,0,130997.53,21654.26
Ultimo Superviviente,Dotal Mixto,35,6,20,26,1159289.00,NA,1159289,209779.06,39362.15
Vida Conjunta,Dotal Mixto,50,36,13,13,1956619.00,Fijo,6750335.55,640404.03,37399.42
Vida Conjunta,Dotal Mixto,43,36,14,16,2639232.00,NA,2639232,366871.52,21443.69
Ultimo Superviviente,Dotal Mixto,37,36,22,19,2338553.00,NA,2338553,348129.83,19659.14
Ultimo Superviviente,Dotal Mixto,44,42,21,18,2510875.56,Variable,20462799.5,1776061.42,93592.33
Ultimo Superviviente,Dotal Mixto,41,5,18,19,1063000.00,NA,1063000,101915.02,10951.14
Vida Conjunta,Dotal Mixto,36,0,26,25,893188.08,Variable,4926839.173,548340.00,103129.33
Individual,Temporal,36,12,21,8,1059765.00,NA,0,14108.18,1082.52
Ultimo Superviviente,Temporal,37,10,23,25,2556902.00,NA,0,54.66,4.45
Individual,Dotal Mixto,35,17,19,0,415986.00,NA,415986,78306.39,6640.79
Individual,Temporal,41,11,22,9,1103429.00,NA,0,17021.81,1306.09
Vida Conjunta,Temporal,20,18,32,34,1838218.61,Variable,0,79128.27,5809.76
Vida Conjunta,Ordinario de Vida,74,7,30,34,2738083.00,NA,0,318757.04,42944.43
Individual,Dotal Mixto,42,16,21,8,3644462.98,Variable,26939827.17,2349253.33,162931.82
Vida Conjunta,Dotal Mixto,28,19,23,26,2618507.06,Variable,9776081.75,1607536.19,104005.39
Vida Conjunta,Dotal Mixto,12,1,25,33,2737057.40,Fijo,3812329.95,1443663.52,194244.73
Vida Conjunta,Temporal,33,22,21,24,2009530.00,Variable,0,104954.37,6584.54
Individual,Dotal Mixto,12,5,28,8,1600801.00,NA,1600801,608063.52,61834.54
Individual,Dotal Mixto,41,1,21,0,2321656.00,NA,2321656,336434.63,336434.63
Ultimo Superviviente,Dotal Mixto,21,0,19,23,1959684.00,NA,1959684,578535.89,155384.86
Vida Conjunta,Dotal Mixto,38,25,25,25,1695386.00,NA,1695386,263032.91,17063.12
Vida Conjunta,Temporal,38,0,16,21,1989191.00,NA,0,51716.79,9725.42
Individual,Dotal Mixto,20,3,26,3,288348.70,Fijo,526549.8,172105.77,32336.78
Ultimo Superviviente,Dotal Mixto,12,8,44,54,2673397.00,Variable,4572416.103,1897045.53,182544.79
Individual,Dotal Mixto,30,10,27,9,2840588.00,NA,2840588,446126.89,35307.44
Vida Conjunta,Dotal Mixto,12,10,38,43,3273868.84,Variable,5599426.737,2565161.90,249864.61
Ultimo Superviviente,Dotal Mixto,14,6,23,21,2061351.60,Fijo,3279423,1502195.48,221355.71
Vida Conjunta,Temporal,26,22,20,22,979270.77,Variable,0,31885.56,1999.46
Vida Conjunta,Dotal Mixto,39,22,25,21,1874306.23,Variable,11968339.85,1619096.19,113098.98
Vida Conjunta,Dotal Mixto,37,37,20,25,926292.00,NA,926292,147691.94,8367.02
Individual,Ordinario de Vida,71,0,38,8,757701.00,NA,0,63103.43,63103.43
Vida Conjunta,Dotal Mixto,34,25,23,23,2176201.00,NA,2176201,288617.50,17025.83
Individual,Temporal,26,13,28,1,991434.00,NA,0,14507.98,1401.50
Individual,Dotal Mixto,19,17,37,7,1831728.00,NA,1831728,527506.34,36720.44
Vida Conjunta,Dotal Mixto,30,17,19,26,818109.00,NA,818109,133258.68,8923.65
Vida Conjunta,Dotal Mixto,44,10,20,21,520173.00,NA,520173,63113.57,6435.12
Individual,Temporal,15,8,46,5,1250366.00,NA,0,29158.48,2977.39
Vida Conjunta,Dotal Mixto,45,28,17,16,2705217.98,Variable,23148956.76,2225589.52,137664.49
Individual,Dotal Mixto,15,4,32,0,576070.00,NA,576070,278690.52,74932.04
Vida Conjunta,Dotal Mixto,18,0,27,28,1380871.37,Variable,3164982.484,847735.24,139935.97
Individual,Temporal,25,0,32,6,1773269.00,NA,0,28843.28,7753.61
Individual,Dotal Mixto,34,5,28,4,443981.00,NA,443981,73843.54,9916.36
Ultimo Superviviente,Temporal,45,16,14,20,1800383.00,Variable,0,234.05,20.57
Vida Conjunta,Dotal Mixto,36,19,22,26,139248.90,Fijo,371330.4,63590.43,4910.92
Ultimo Superviviente,Dotal Mixto,27,18,32,29,2446130.00,NA,2446130,442694.16,29331.65
Vida Conjunta,Temporal,39,3,17,17,927785.00,NA,0,24124.12,4536.74
Individual,Dotal Mixto,9,0,36,7,1526079.00,NA,1526079,703291.80,360337.94
Individual,Temporal,33,31,30,4,1920698.00,NA,0,38947.94,2291.35
Vida Conjunta,Dotal Mixto,32,9,30,26,1967760.00,NA,1967760,328323.36,29075.78
Vida Conjunta,Dotal Mixto,35,0,19,24,1776202.00,NA,1776202,305665.89,107003.36
Individual,Temporal,15,15,18,1,3118798.20,Variable,0,26463.17,2333.59
Vida Conjunta,Dotal Mixto,24,3,21,24,2354966.00,NA,2354966,683942.72,150757.59
Vida Conjunta,Temporal,21,20,33,31,648268.38,Variable,0,28515.88,1999.06
Individual,Dotal Mixto,28,5,24,7,2605131.05,Variable,9726142.99,1763255.24,189953.77
Individual,Temporal,38,11,13,1,1308308.00,NA,0,14902.58,1605.09
Vida Conjunta,Dotal Mixto,9,1,39,40,1134793.00,NA,1134793,527050.91,78069.92
Vida Conjunta,Dotal Mixto,32,10,28,27,819478.80,Fijo,1726758.9,256884.09,21105.21
Ultimo Superviviente,Dotal Mixto,34,19,22,26,2139979.00,NA,2139979,406626.84,32045.49
Individual,Dotal Mixto,14,2,35,9,1889912.00,NA,1889912,623969.59,71754.54
Vida Conjunta,Dotal Mixto,18,1,30,25,2519065.96,Variable,5773745.333,1623812.38,218443.16
Ultimo Superviviente,Temporal,42,8,18,27,2532738.00,NA,0,75.28,6.91
Vida Conjunta,Dotal Mixto,36,0,23,25,2018978.00,NA,2018978,308601.71,108031.65
Vida Conjunta,Dotal Mixto,41,41,23,21,4339359.03,Variable,30549038.62,2797189.52,149757.41
Vida Conjunta,Dotal Mixto,23,9,20,21,1445847.00,NA,1445847,459615.02,56940.59
Individual,Dotal Mixto,10,7,45,8,4185136.32,Variable,6492520.068,2697776.19,249222.14
Individual,Ordinario de Vida,79,0,30,5,691868.00,NA,0,46849.93,12593.82
Vida Conjunta,Dotal Mixto,27,17,30,32,2975863.00,NA,2975863,642261.80,45946.68
Vida Conjunta,Dotal Mixto,41,0,19,29,944709.00,NA,944709,106665.50,54659.70
Individual,Temporal,34,32,25,0,888550.00,NA,0,15312.04,931.82
Vida Conjunta,Dotal Mixto,36,20,21,21,563946.00,NA,563946,81535.60,5461.42
Vida Conjunta,Dotal Mixto,43,25,15,23,1632924.00,NA,1632924,187800.83,11782.32
Vida Conjunta,Dotal Mixto,27,17,28,30,2352978.00,NA,2352978,504796.74,36079.34
Individual,Dotal Mixto,24,6,28,0,2025260.00,NA,2025260,638820.04,120053.13
Individual,Dotal Mixto,21,12,20,8,342013.21,Variable,907462.854,220464.76,16915.06
Ultimo Superviviente,Dotal Mixto,16,6,43,44,2453764.00,NA,2453764,923597.81,113918.42
Individual,Dotal Mixto,24,4,17,6,2186120.00,NA,2186120,515517.67,63704.59
Individual,Dotal Mixto,38,4,23,8,257473.00,NA,257473,29627.47,3191.43
Vida Conjunta,Temporal,42,27,18,24,3438842.55,Variable,0,296495.29,17492.98
Individual,Temporal,42,5,16,2,2577318.00,NA,0,35732.90,5889.21
Ultimo Superviviente,Dotal Mixto,25,2,17,18,2541468.00,NA,2541468,750283.05,384291.36
Vida Conjunta,Dotal Mixto,39,23,24,25,1456276.50,Variable,9299020.519,1320885.71,92361.18
Ultimo Superviviente,Dotal Mixto,37,0,23,24,1656101.00,NA,1656101,175012.22,61205.72
Vida Conjunta,Temporal,37,9,23,27,1253053.00,NA,0,41179.12,3644.62
Vida Conjunta,Dotal Mixto,42,25,19,16,2826663.00,NA,2826663,333545.15,20913.12
Individual,Dotal Mixto,37,1,23,4,1548769.00,NA,1548769,223252.46,49158.53
Individual,Temporal,15,13,40,10,2076490.00,NA,0,32536.27,2315.96
Vida Conjunta,Dotal Mixto,29,1,16,19,883994.00,NA,883994,170061.06,28063.43
Vida Conjunta,Dotal Mixto,32,10,30,27,2441089.35,Variable,11077759.88,2214140.00,255459.17
Vida Conjunta,Ordinario de Vida,92,3,12,17,1050757.47,Variable,0,907683.81,200024.10
Vida Conjunta,Dotal Mixto,37,8,16,21,1712636.00,NA,1712636,257532.14,27808.93
Individual,Dotal Mixto,39,0,23,6,1486710.00,NA,1486710,179533.47,62816.78
Individual,Dotal Mixto,41,21,13,1,1909922.00,NA,1909922,259899.56,18886.47
Individual,Dotal Mixto,18,18,30,3,451124.00,NA,451124,163770.11,12243.18
Individual,Dotal Mixto,31,0,31,5,458940.00,NA,458940,83711.50,29292.90
Individual,Temporal,14,10,15,2,2636790.82,Variable,0,19324.73,2081.46
Vida Conjunta,Dotal Mixto,17,4,25,26,405614.00,NA,405614,141499.16,19036.52
Vida Conjunta,Dotal Mixto,14,0,34,43,322420.67,Variable,607972.2582,207835.24,34353.05
Individual,Ordinario de Vida,64,0,42,4,1890170.00,NA,0,220069.72,220069.72
Individual,Dotal Mixto,24,5,18,0,2990278.00,NA,2990278,938432.88,206632.02
Vida Conjunta,Ordinario de Vida,80,0,25,29,1828041.00,NA,0,156597.99,42126.21
Individual,Temporal,15,4,42,3,1865705.00,NA,0,33676.66,5559.51
Individual,Temporal,12,4,25,9,309031.00,NA,0,2336.70,237.56
Ultimo Superviviente,Ordinario de Vida,73,3,35,33,2035500.00,NA,0,17022.06,2801.68
Individual,Temporal,13,6,48,7,625776.00,NA,0,14593.07,1490.11
Vida Conjunta,Dotal Mixto,14,0,42,44,1051352.13,Variable,1982481.244,823761.90,823761.90
Vida Conjunta,Temporal,41,23,19,20,1789065.00,NA,0,55423.67,3787.50
Vida Conjunta,Temporal,6,2,26,25,2151913.00,NA,0,24729.83,2848.58
Ultimo Superviviente,Dotal Mixto,29,24,29,34,507451.00,Variable,1989273.451,482234.48,33288.74
Ultimo Superviviente,Dotal Mixto,33,15,27,31,876104.00,NA,876104,143614.41,11318.01
Vida Conjunta,Dotal Mixto,44,1,19,20,102798.00,NA,102798,11883.53,2618.93
Vida Conjunta,Dotal Mixto,15,5,18,15,815657.00,NA,815657,342400.70,50611.25
Ultimo Superviviente,Temporal,33,15,26,31,514020.00,NA,0,13.79,0.97
Vida Conjunta,Dotal Mixto,36,13,26,23,2990049.45,Fijo,7540124.7,1177583.74,104294.90
Ultimo Superviviente,Dotal Mixto,37,20,19,24,2134798.00,NA,2134798,317721.50,22989.08
Vida Conjunta,Temporal,20,7,28,28,531147.00,NA,0,11853.99,1281.35
Vida Conjunta,Ordinario de Vida,74,2,31,35,2194550.00,Variable,0,1559625.71,230803.16
Vida Conjunta,Dotal Mixto,20,7,37,35,1288611.00,NA,1288611,397446.08,43045.14
Vida Conjunta,Dotal Mixto,36,17,21,24,1360289.90,Variable,7503380.008,795333.33,52288.67
Ultimo Superviviente,Temporal,16,1,33,28,1147600.00,NA,0,11.16,3.00
Individual,Temporal,12,10,47,4,1820881.00,NA,0,37108.23,3601.87
Vida Conjunta,Dotal Mixto,30,5,30,27,2280624.00,NA,2280624,395033.86,40295.49
Ultimo Superviviente,Dotal Mixto,11,5,36,38,2430189.00,NA,2430189,915596.71,88094.99
Vida Conjunta,Dotal Mixto,10,0,28,28,883627.16,Variable,1370795.743,659376.19,145360.18
Vida Conjunta,Temporal,16,2,48,47,2751195.00,NA,0,148354.16,24595.26
Ultimo Superviviente,Temporal,43,42,17,23,2722346.00,NA,0,62.42,3.27
Individual,Dotal Mixto,18,12,34,9,137933.00,NA,137933,37740.65,2820.09
Vida Conjunta,Ordinario de Vida,77,0,30,29,4006860.64,Variable,0,2582858.10,426440.23
Individual,Temporal,19,4,25,4,2781499.00,NA,0,26749.96,3948.80
Vida Conjunta,Dotal Mixto,32,4,24,31,418549.00,NA,418549,66807.39,7218.18
Individual,Temporal,38,9,23,2,2690614.00,NA,0,46071.97,5295.99
Vida Conjunta,Dotal Mixto,23,7,35,36,2453723.00,NA,2453723,761077.32,102618.05
Vida Conjunta,Temporal,13,7,26,31,623591.17,Variable,0,12756.33,1470.95
Ultimo Superviviente,Dotal Mixto,41,31,19,21,2381765.00,NA,2381765,239656.34,13659.61
Individual,Dotal Mixto,30,6,22,8,886205.00,NA,886205,144697.79,13961.62
Individual,Dotal Mixto,42,17,16,5,2953074.00,NA,2953074,322311.12,23420.00
Vida Conjunta,Dotal Mixto,24,15,37,37,2983726.50,Fijo,5271250.15,1039852.15,71374.18
Vida Conjunta,Temporal,39,28,20,23,2762696.00,NA,0,85940.29,5255.87
Individual,Ordinario de Vida,76,2,30,6,2238384.53,Variable,0,1590778.10,234863.62
Ultimo Superviviente,Temporal,33,0,23,24,2716799.00,NA,0,45.85,12.31
Vida Conjunta,Dotal Mixto,38,9,24,21,720518.00,NA,720518,89116.82,7581.38
Ultimo Superviviente,Temporal,24,4,26,24,1369763.00,NA,0,12.57,1.27
Vida Conjunta,Dotal Mixto,39,21,24,21,2230520.00,NA,2230520,301912.48,20238.38
Vida Conjunta,Dotal Mixto,41,1,21,19,1249955.00,NA,1249955,148549.95,24515.80
Individual,Dotal Mixto,17,11,34,8,1710668.83,Variable,3734175.52,1102712.38,87376.87
Individual,Temporal,43,18,20,0,249100.00,NA,0,4446.38,363.80
Individual,Dotal Mixto,41,12,22,5,2063425.00,Fijo,5364905,589985.63,50024.53
Individual,Temporal,12,1,26,6,1592437.00,NA,0,11859.82,1954.95
Vida Conjunta,Dotal Mixto,9,1,53,53,310959.00,NA,310959,140107.65,18989.69
Vida Conjunta,Ordinario de Vida,63,7,42,46,1313029.00,NA,0,254492.92,37835.16
Individual,Dotal Mixto,21,8,33,6,1837535.00,NA,1837535,503705.95,48658.96
Vida Conjunta,Dotal Mixto,23,0,35,34,1054455.00,NA,1054455,237615.17,121775.40
Individual,Dotal Mixto,28,18,30,2,2199779.66,Variable,8212781.289,1900252.38,146136.52
Individual,Temporal,41,31,20,6,1774458.00,NA,0,26536.45,1524.04
Ultimo Superviviente,Dotal Mixto,30,19,22,22,1687332.00,NA,1687332,336943.05,24379.83
Vida Conjunta,Dotal Mixto,23,17,20,22,2986199.00,NA,2986199,788635.91,57603.02
Individual,Temporal,35,18,23,7,1342894.43,Variable,0,43109.29,2928.85
Individual,Dotal Mixto,20,0,28,4,2601387.58,Variable,6573576.854,2038255.24,2038255.24
Vida Conjunta,Temporal,34,29,21,21,2487257.00,NA,0,66743.35,4082.62
Individual,Temporal,31,24,27,0,2326607.00,NA,0,39882.21,2773.31
Ultimo Superviviente,Dotal Mixto,28,8,25,25,854313.99,Variable,3189543.953,577598.50,52998.20
Vida Conjunta,Dotal Mixto,41,7,17,18,2852145.00,NA,2852145,414746.12,61314.20
Ultimo Superviviente,Dotal Mixto,23,2,17,15,2223998.00,NA,2223998,595539.72,111744.71
Ultimo Superviviente,Temporal,32,4,19,25,2302258.00,NA,0,31.24,4.60
Vida Conjunta,Temporal,40,10,20,20,3200654.04,Variable,0,263668.17,25519.04
Vida Conjunta,Temporal,40,11,20,22,1429878.00,NA,0,45411.03,4396.27
Ultimo Superviviente,Dotal Mixto,24,0,25,27,1137460.50,Fijo,2009513.55,382214.59,62909.00
Vida Conjunta,Dotal Mixto,34,15,28,36,2162966.00,NA,2162966,391074.54,31195.00
Individual,Dotal Mixto,24,21,25,0,455662.00,NA,455662,143445.81,10718.70
Individual,Temporal,40,0,20,2,2243732.00,NA,0,35211.11,35211.11
Individual,Ordinario de Vida,67,0,39,3,1304254.41,Variable,0,1073013.33,1073013.33
Ultimo Superviviente,Dotal Mixto,13,13,20,21,2027455.92,Variable,3641019.533,1588416.47,134184.87
Individual,Temporal,22,0,25,9,966572.00,NA,0,10235.01,2750.87
Ultimo Superviviente,Dotal Mixto,27,12,32,29,2837912.00,Variable,10090686.19,2699003.99,290022.19
Vida Conjunta,Temporal,41,15,16,18,455957.00,NA,0,12675.33,1078.39
Individual,Dotal Mixto,12,6,49,9,481066.00,NA,481066,176462.20,16321.61
Vida Conjunta,Dotal Mixto,29,10,36,34,241501.00,NA,241501,63780.54,7926.55
Vida Conjunta,Temporal,30,14,28,29,342057.00,NA,0,11304.59,930.06
Vida Conjunta,Dotal Mixto,10,5,31,30,1464716.96,Variable,2272256.754,991378.10,107172.35
Vida Conjunta,Dotal Mixto,24,17,33,37,1675863.00,NA,1675863,475527.80,36893.28
Vida Conjunta,Ordinario de Vida,62,3,40,47,2721462.00,Variable,0,2591868.57,908723.92
Vida Conjunta,Dotal Mixto,14,0,34,44,2423431.00,NA,2423431,895591.33,313672.90
Vida Conjunta,Dotal Mixto,16,5,45,42,787124.00,NA,787124,322015.34,47816.15
Vida Conjunta,Dotal Mixto,30,1,21,31,267967.00,NA,267967,60295.44,21110.62
Individual,Temporal,42,40,17,1,2994515.00,NA,0,44084.99,2450.20
Individual,Dotal Mixto,24,24,24,6,298846.00,NA,298846,70735.09,4412.83
Vida Conjunta,Dotal Mixto,18,7,25,25,2435867.00,NA,2435867,1026232.88,169487.11
Vida Conjunta,Temporal,42,0,18,19,383703.00,NA,0,11032.23,5653.22
Vida Conjunta,Dotal Mixto,41,39,18,22,1333423.00,NA,1333423,187967.12,10558.59
Vida Conjunta,Dotal Mixto,37,34,22,25,3596464.37,Variable,20830060.37,2207917.14,122079.35
Vida Conjunta,Dotal Mixto,32,25,21,29,1287708.00,NA,1287708,194913.42,11639.43
Vida Conjunta,Temporal,27,21,22,26,2345074.00,NA,0,58044.72,4054.61
Vida Conjunta,Dotal Mixto,11,0,49,47,2217015.00,NA,2217015,993466.25,509418.54
Individual,Temporal,38,5,22,1,1807584.00,NA,0,29995.70,5635.49
Vida Conjunta,Dotal Mixto,41,29,21,23,170993.00,Fijo,512979,73460.46,4691.88
Ultimo Superviviente,Dotal Mixto,49,15,14,12,582694.00,NA,582694,50619.30,4448.30
Vida Conjunta,Dotal Mixto,24,17,22,26,2291648.00,NA,2291648,529790.86,36958.14
Vida Conjunta,Temporal,26,10,28,27,859836.00,NA,0,23580.53,2285.08
Vida Conjunta,Dotal Mixto,17,0,42,51,2118193.46,Variable,4623750.673,1659660.00,447399.48
Individual,Dotal Mixto,21,18,31,8,779075.55,Variable,2067119.376,502199.05,33505.56
Ultimo Superviviente,Temporal,45,12,18,16,1343243.80,Variable,0,142.59,12.53
Individual,Temporal,14,7,33,9,1857389.76,Variable,0,22973.19,2027.33
Vida Conjunta,Dotal Mixto,34,31,18,17,1783248.00,NA,1783248,330763.74,19967.38
Vida Conjunta,Dotal Mixto,37,5,16,22,648694.00,NA,648694,116534.03,25685.58
Vida Conjunta,Dotal Mixto,17,0,36,41,2519847.50,Fijo,4132549.9,1428162.52,1428162.52
Vida Conjunta,Temporal,12,0,33,34,1967964.00,NA,0,39474.56,8702.98
Vida Conjunta,Dotal Mixto,15,14,37,43,166058.40,Fijo,262925.8,104845.81,8683.42
Ultimo Superviviente,Temporal,21,7,21,18,1154545.35,Fijo,0,9.95,1.47
Ultimo Superviviente,Dotal Mixto,39,5,16,17,988237.00,NA,988237,133476.83,21969.05
Vida Conjunta,Temporal,15,8,32,37,614558.86,Variable,0,20024.65,2486.80
Individual,Temporal,23,7,33,8,746622.00,NA,0,11544.05,1063.53
Individual,Dotal Mixto,31,25,32,4,1820365.25,Variable,7867513.732,1426303.81,90601.93
Vida Conjunta,Temporal,40,38,16,15,949727.00,NA,0,24232.56,1367.33
Individual,Temporal,24,18,26,6,1685683.52,Variable,0,32348.03,2245.63
Ultimo Superviviente,Dotal Mixto,29,20,30,30,788435.00,NA,788435,157279.54,10856.37
